"id";"title";"slug";"created";"updated";"ordering";"hidden"
5;"My Account";"my-account";"2016-08-26 12:44:51.77318+08";"2016-08-26 12:44:51.773206+08";60;FALSE
3;"Schema Browser";"schema-browser";"2016-08-26 12:45:19.228327+08";"2016-08-26 12:45:19.228372+08";40;FALSE
27;"Data Access";"data-access";"2016-09-21 15:33:36.79719+08";"2016-09-21 15:33:36.797239+08";9;FALSE
19;"RESTful API";"restful-api";"2016-09-01 09:32:32.946509+08";"2016-09-01 09:32:32.946567+08";120;FALSE
9;"Publications";"publications";"2016-08-27 14:10:17.130423+08";"2016-08-27 14:10:17.130473+08";100;FALSE
110;"SAMI";"sami";"2016-08-26 11:58:11.791068+08";"2016-08-26 11:58:11.791092+08";210;FALSE
100;"GAMA";"gama";"2016-08-26 11:55:43.85996+08";"2016-08-26 11:55:48.547931+08";200;FALSE
20;"Policies";"policies";"2016-09-01 09:45:30.609506+08";"2016-09-01 09:45:30.609536+08";130;FALSE
2;"Query";"query";"2016-08-26 12:45:10.149509+08";"2016-08-26 12:45:10.149553+08";30;TRUE
6;"Downloading Data";"downloading-data";"2016-09-01 09:24:13.53214+08";"2016-09-01 09:24:13.5322+08";50;TRUE
28;"GALAH";"galah";"2016-10-07 09:09:09.466901+08";"2016-10-07 09:09:09.466953+08";211;FALSE
10;"Referencing ADC";"referencing-adc";"2016-08-27 14:10:28.73506+08";"2016-08-27 14:10:28.735084+08";110;FALSE
4;"Data Central";"data-central";"2016-08-26 17:37:11.659611+08";"2016-08-26 17:37:11.659638+08";62;FALSE
26;"Support";"support";"2016-09-01 11:56:47.475487+08";"2016-09-01 11:56:47.475533+08";65;FALSE
1;"Single Object Viewer";"sov";"2016-08-26 12:45:04.458743+08";"2016-08-26 12:45:04.458781+08";20;FALSE
